3,0 8 03343448 138.78
3,0 8 05545448 173.56
3,0 8 08818118 156.47
3,0 8 21141448 118.78
3,0 8 27747448 237.38
3,0 8 63383888 298.95
3,0 8 65585888 363.68
3,0 8 71181888 252.33
3,0 8 77787888 454.49
3,1 1 0000010000010010010010110100010000010100100000000010010000001000 8.0
3,1 1 0111100010111011100000000001001010110001111110111011001010111111 31.09
3,1 1 1100100000110011100000000001001000110001110010000011001010001100 11.99
3,1 1 1100100000110011100000000001001000110001111110110011001010111111 23.99
3,1 1 1111100010001000100000000001001010000001010000001000001000000100 10.56
3,1 2 1100100000110011100000000001001000110001112210220011001010221122 49.16
3,1 2 1100111101010110111112111110110101011110100101000110110101001010 35.34
3,1 2 1111120010001000120020110100010010000100000100001000010000000010 20.99
3,1 2 1122100020112011100000000001001020110001111110112011001010111111 48.17
3,1 2 2111100010001000100000000001001010000001010000001000001000000100 14.47
3,1 2 2111100010111011100000000001001010110001110010001011001010001100 25.17
3,1 2 2211210010001000210010110100010010000100000100001000010000000010 26.46
3,1 3 2011030010001000030030110100010010000100000100001000010000000010 23.99
3,1 3 2011030010001000030031110100010010000100000100001000010000000010 27.99
3,1 3 2011030010001000030032110100010010000100000100001000010000000010 33.21
3,1 3 2011030010001000030033110100010010000100000100001000010000000010 39.82
3,1 3 2111130010001000130031110100010010000100000100001000010000000010 37.18
3,1 3 2211230010001000230032110100010010000100000100001000010000000010 54.28
3,1 3 3111100010001000100000000001001010000001010000001000001000000100 19.99
3,1 4 2011030010001000030034110100010010000100000100001000010000000010 47.99
3,1 4 4111100010001000100000000001001010000001010000001000001000000100 27.31
3,1 4 4111100010221022100000000001001010220001210020001022001020002100 57.81
3,1 4 4311310010001000310011110100010010000100000100001000010000000010 54.35
3,1 5 2011030010001000030035110100010010000100000100001000010000000010 57.86
3,1 5 5111100010001000100000000001001010000001010000001000001000000100 36.50
3,1 6 6111100010001000100000000001001010000001010000001000001000000100 47.63
4,0 1 000001010001000100010100000 4.0
4,0 1 011110100110101010100010000 9.99
4,0 1 100011010011100100010100000 7.23
4,0 1 110111010111110100010100000 13.65
4,0 1 111101110101010100110100001 13.09
4,0 1 111111110111110101110101010 19.23
4,0 2 101020100020211010100010000 14.99
4,0 2 101020100020221010100010000 19.29
4,0 2 110100002100000001002001210 11.99
4,0 2 111120100120211010100010000 21.22
4,0 2 111121110121221111110111010 35.72
4,0 2 122211210211120102210102020 39.08
4,0 2 200021010021200100010100000 13.65
4,0 2 210121010121210100010100000 23.81
4,0 2 211101111101010100111100100 19.50
4,0 2 220221010221220100010100000 37.88
4,0 2 221201110201020100110100001 24.70
4,0 2 221220100220211010100010000 34.33
4,0 2 222221210221211111210111011 52.54
4,0 3 101020100020231010100010000 25.11
4,0 3 101021110021232121110121011 45.22
4,0 3 211130100130321010100010000 39.33
4,0 3 300031010031300100010100000 23.81
4,0 3 310131010131310100010100000 37.88
4,0 3 312100201100000001201001110 29.36
4,0 3 312100202100000001202001210 36.97
4,0 3 320231010231320100010100000 55.92
4,0 3 321211110211110100110100001 35.23
4,0 3 321230100230311010100010000 51.38
4,0 3 322211210211110101210101011 45.22
4,0 3 322221211221201111211111110 59.92
4,0 3 331301110301030100110100001 43.08
4,0 4 101012120012113230120230004 48.17
4,0 4 101020100020241010100010000 32.64
4,0 4 231302121302040201121201110 56.83
4,0 4 400032021032300200021200100 37.88
4,0 4 400041010041400100010100000 37.88
4,0 4 410141010141410100010100000 55.92
4,0 4 412101212101010100212100200 48.45
4,0 4 422201210201020100210100002 46.62
4,0 4 431311110311120100110100001 57.97
4,0 5 101020100020251010100010000 41.99
4,0 5 500051010051500100010100000 55.92
4,0 5 522201211201020100211100100 59.39
4,0 6 101020100020261010100010000 53.23
5,0 1 0000001001000001001000001000000101001000000000010001000100011110 8.0
5,0 1 0011011011001000011010011010010011001010010100101000010000100000 13.99
5,0 1 1010010110000101010110000001101010000001000001000101101001001000 11.99
5,0 1 1010010110000101010111000001101110000001000001000101101101001100 16.60
5,0 1 1110101011110010101001011010010011111010111010000010010010000000 23.99
5,0 1 1110111111100100111111101110100011101110110100100100100000100000 31.09
5,0 1 1111100010001000100000000001001010000001000001001000001001000000 10.56
5,0 1 1111101111011110101101011010110011011010011010011110110010010011 30.14
5,0 1 1111110110001101110111000001101110000001000001001101101101001100 26.18
5,0 1 1111111111101100111111101101101011101101101001011100101001010010 34.64
5,0 2 0110110010000002110010100100000210000100000000010002000200012210 19.99
5,0 2 1010010110000101010112000001101210000001000001000101101201001200 23.99
5,0 2 1011021011001000021021111110010011001110010100101000010000100000 28.00
5,0 2 1221200020001000200000110110010020000110010100101000010000100000 23.70
5,0 2 2100110100010112110110110100110100010100000010000112110110002100 31.09
5,0 2 2110101011210010101001011010010011211010211010000010010010000000 34.74
5,0 2 2111100010001000100000000001001010000001000001001000001001000000 14.47
5,0 2 2111110110001101110110000001101010000001000001001101101001001000 25.17
5,0 2 2221200020001000200000110110010020000110010100101000010000100000 28.63
5,0 3 1010010110000101010113000001101310000001000001000101101301001300 34.74
5,0 3 1021030020001000030030210200010020000200001100101000010000100000 29.99
5,0 3 1021030020001000030031210200010020000200001100101000010000100000 34.40
5,0 3 3001022002101000022020012000010002102000100100101000010000100000 29.36
5,0 3 3111100010001000100000000001001010000001000001001000001001000000 19.99
5,0 3 3221200020001000200000110110010020000110010100101000010000100000 34.99
5,0 4 4111100010001000100000000001001010000001000001001000001001000000 27.31
